title,percentage of dislike
"李靚蕾再度反擊！486先生痛批王力宏：白
",88.0
"李靜蕾汙衊王力宏不忠 還想敲詐9億贍養費
",77.0
"李靜蕾汙衊王力宏不忠 還想敲詐9億贍養費
",90.0
"雞排妹參戰！開砲王力宏揪「關鍵舉動」：
",91.0
"心機女有多可怕？
",91.0
"李靚蕾拿到豪宅了 也該滿意了吧？
",78.0
"鬼才阿水怒轟王力宏：超級沒品 沒救了
",90.0
"王力宏遭毀滅！命理師：2人八字不合
",83.0
"鄭家純再挺蕾神！轟王力宏寫日文名欺負
",86.0
"台北通再次當機 柯文哲：代表台北通太成
",68.0
"只有我覺得李靚蕾文章寫得很囉唆嗎??
",76.0
"蕾神又發文了
",76.0
"蕾神又發文了
",67.0
"蕾神又發文了
",87.0
"只有我覺得沒什麼好報的嗎？
",84.0
"只有我覺得李靚蕾文章寫得很囉唆嗎??
",89.0
"有點膩了 李小姐可以不要一直發文嗎？
",83.0
"王毅：台灣是「終將回家的遊子」不應是被
",82.0
"有點膩了 李小姐可以不要一直發文嗎？
",92.0
"蕾神又發文了
",79.0
"蕾神又發文了
",91.0
"力宏蕾蕾事件可以下結論了
",78.0
"李靚蕾深夜開轟王力宏　衛福部不忍了
",77.0
"王力宏回擊！控李靚蕾每月「討91萬生活費
",70.0
"王力宏聲明2大錯誤！阿滴看不下去
",71.0
"宏宏這一篇文章根本成功吧?
",69.0
"笑死 同事竟然說光年是距離單位??
",83.0
"阿滴公開糾錯王力宏長文！「英翻中2離譜
",85.0
"李靚蕾王力宏爭議(錘)懶人包
",70.0
"王力宏駁不忠！自懺不及格老公 槓李靚蕾
",91.0
"為了孩子好 奉勸李小姐該適可而止
",89.0
"快訊／李靚蕾深夜5點反擊王力宏！ 心碎
",70.0
"蕾神是不是開始急了?
",83.0
"王力宏超級渣男耶
",82.0
"蕾神之槌來了
",88.0
"對王力宏雙標太嚴重了吧
",86.0
"快訊／李靚蕾深夜5點反擊王力宏！ 心碎
",72.0
"快訊／李靚蕾不睡了！千字回擊王力宏：很遺憾要走到這一
",90.0
"到底是在蕾神3小啦
",83.0
"快訊／李靚蕾不睡了！千字回擊王力宏：很遺憾要走到這一
",91.0
"Yumi認與王力宏交往　認了「刻骨銘心」：
",92.0
"恭喜戴資穎 蔡英文：睽違10年後的世錦賽
",73.0
"靚蕾大大發文啦
",71.0
"鄭家純開砲了！打臉王力宏說謊「不做功
",89.0
"為什麼常缺席小孩活動就要被鞭啊？
",76.0
"只有我覺得王力宏這事很無聊嗎....
",80.0
"蜘蛛人三代同堂
",77.0
"只有我覺得力宏遇到心機高手嗎
",82.0
"李靚蕾的報復心484太重了
",94.0
"宏宏出現了
",72.0
"蕾蕾算是恐怖情人嗎？
",85.0
"炒房建商欺負大學老師3
",73.0
"謝和弦改編《你不知道的事》酸爆王力宏！
",78.0
"Emmy Hu：李靚蕾是牡羊座 我也是
",79.0
"渣男渣女是大陸用語 台灣人用這麼爽?
",83.0
"難道只有我想挺王力宏嗎？
",73.0
"林智堅：多數民眾期盼立院修法 讓大新竹
",71.0
"黃士修：公投輸了但民進黨沒有贏，我大
",67.0
"李靚蕾回覆王爸爸
",88.0
"郭台銘直言「明年一定缺電」！ 環團批：
",71.0
"李靚蕾的學經歷到底是不是真的?
",85.0
"發聲了！！！
",86.0
"娶到李這種老婆是不是很可怕?
",80.0
"為啥內射出事都是男方的責任?
",72.0
